ans = x0 alpha lambda iteraciones punto-final
ans = (0.00, 0.00) 0.683 0.367 10000 (-11.51, -15.51)
ans = (0.00, 0.00) 0.683 0.472 10000 (-11.06, -14.34)
ans = (0.00, 0.00) 0.683 0.578 10000 (-10.70, -13.46)
ans = (0.00, 0.00) 0.683 0.683 10000 (-10.40, -12.77)
ans = (0.00, 0.00) 0.683 0.789 10000 (-10.15, -12.20)
ans = (0.00, 0.00) 0.683 0.894 10000 (-9.93, -11.72)
ans = (0.00, 0.00) 0.683 1.000 10000 (-9.74, -11.30)
ans = (0.00, 0.00) 0.789 0.050 4171 (9.42, 25.12)
ans = (0.00, 0.00) 0.789 0.156 10000 (-13.25, -20.98)
ans = (0.00, 0.00) 0.789 0.261 10000 (-12.40, -17.95)
ans = (0.00, 0.00) 0.789 0.367 10000 (-11.79, -16.19)
ans = (0.00, 0.00) 0.789 0.472 10000 (-11.33, -14.98)
ans = (0.00, 0.00) 0.789 0.578 10000 (-10.97, -14.07)
ans = (0.00, 0.00) 0.789 0.683 10000 (-10.67, -13.36)
ans = (0.00, 0.00) 0.789 0.789 10000 (-10.41, -12.76)
ans = (0.00, 0.00) 0.789 0.894 10000 (-10.19, -12.26)
ans = (0.00, 0.00) 0.789 1.000 10000 (-10.00, -11.83)
ans = (0.00, 0.00) 0.894 0.050 3682 (9.60, 25.08)
ans = (0.00, 0.00) 0.894 0.156 10000 (-13.53, -21.74)
ans = (0.00, 0.00) 0.894 0.261 10000 (-12.66, -18.62)
ans = (0.00, 0.00) 0.894 0.367 10000 (-12.04, -16.81)
ans = (0.00, 0.00) 0.894 0.472 10000 (-11.58, -15.56)
ans = (0.00, 0.00) 0.894 0.578 10000 (-11.21, -14.63)
ans = (0.00, 0.00) 0.894 0.683 10000 (-10.90, -13.88)
ans = (0.00, 0.00) 0.894 0.789 10000 (-10.64, -13.27)
ans = (0.00, 0.00) 0.894 0.894 10000 (-10.42, -12.76)
ans = (0.00, 0.00) 0.894 1.000 10000 (-10.22, -12.32)
ans = (0.00, 0.00) 1.000 0.050 3296 (9.81, 25.03)
ans = (0.00, 0.00) 1.000 0.156 10000 (-13.79, -22.43)
ans = (0.00, 0.00) 1.000 0.261 10000 (-12.90, -19.23)
ans = (0.00, 0.00) 1.000 0.367 10000 (-12.27, -17.37)
ans = (0.00, 0.00) 1.000 0.472 10000 (-11.80, -16.09)
ans = (0.00, 0.00) 1.000 0.578 10000 (-11.42, -15.13)
ans = (0.00, 0.00) 1.000 0.683 10000 (-11.11, -14.37)
ans = (0.00, 0.00) 1.000 0.789 10000 (-10.85, -13.74)
ans = (0.00, 0.00) 1.000 0.894 10000 (-10.63, -13.21)
ans = (0.00, 0.00) 1.000 1.000 10000 (-10.43, -12.76)
ans = (1.00, 1.00) 0.050 0.050 10000 (7.50, 15.31)
ans = (1.00, 1.00) 0.050 0.156 10000 (6.79, 11.13)
ans = (1.00, 1.00) 0.050 0.261 10000 (6.36, 9.59)
ans = (1.00, 1.00) 0.050 0.367 10000 (6.06, 8.68)
ans = (1.00, 1.00) 0.050 0.472 10000 (5.83, 8.05)
ans = (1.00, 1.00) 0.050 0.578 10000 (5.65, 7.57)
